配信日,開始時刻,歌枠URL,枠タイトル,曲順,曲名,アーティスト名,キー,ジャンル,セトリ原文,タイムスタンプ,確認状態,備考,正規化曲名,正規化アーティスト,曲キー,重複チェック,D1投入
2021/05/14,,https://www.youtube.com/watch?v=Eo0EwEmJfnQ,【歌枠】第一回！定期歌枠！singing！【茨むあん/新人VTuber】,1,ヒバナ,DECO*27,,,01. ヒバナ[Hibana] / DECO*27,0:06:36,確認済み,,ヒバナ,DECO*27,ヒバナ / DECO*27,,未投入
2021/05/14,,https://www.youtube.com/watch?v=Eo0EwEmJfnQ,【歌枠】第一回！定期歌枠！singing！【茨むあん/新人VTuber】,2,ゴーストルール,DECO*27,,,02. ゴーストルール[Ghost Rule] / DECO*27,0:14:05,確認済み,,ゴーストルール,DECO*27,ゴーストルール / DECO*27,,未投入
2021/05/14,,https://www.youtube.com/watch?v=Eo0EwEmJfnQ,【歌枠】第一回！定期歌枠！singing！【茨むあん/新人VTuber】,3,Alice in 冷凍庫,Orangestar,,,03. Alice in 冷凍庫[Alice in Reitouko] / Orangestar,0:23:09,確認済み,,Alice in 冷凍庫,Orangestar,Alice in 冷凍庫 / Orangestar,,未投入
2021/05/14,,https://www.youtube.com/watch?v=Eo0EwEmJfnQ,【歌枠】第一回！定期歌枠！singing！【茨むあん/新人VTuber】,4,グッバイ宣言,Chinozo,,,04. グッバイ宣言[Goodbye Sengen] / Chinozo,0:32:38,確認済み,,グッバイ宣言,Chinozo,グッバイ宣言 / Chinozo,,未投入
2021/05/14,,https://www.youtube.com/watch?v=Eo0EwEmJfnQ,【歌枠】第一回！定期歌枠！singing！【茨むあん/新人VTuber】,5,フリージア,Uru,,,05. フリージア[Freesia] / Uru,0:38:27,確認済み,,フリージア,Uru,フリージア / Uru,,未投入
2021/05/14,,https://www.youtube.com/watch?v=Eo0EwEmJfnQ,【歌枠】第一回！定期歌枠！singing！【茨むあん/新人VTuber】,6,雨とカプチーノ,ヨルシカ,,,06. 雨とカプチーノ[Ame to Kapuchiino] / ヨルシカ,0:47:17,確認済み,,雨とカプチーノ,ヨルシカ,雨とカプチーノ / ヨルシカ,,未投入
2021/05/14,,https://www.youtube.com/watch?v=Eo0EwEmJfnQ,【歌枠】第一回！定期歌枠！singing！【茨むあん/新人VTuber】,7,ヴァンパイア,DECO*27,,,07. ヴァンパイア[Vampire] / DECO*27,0:55:44,確認済み,,ヴァンパイア,DECO*27,ヴァンパイア / DECO*27,,未投入
2021/05/14,,https://www.youtube.com/watch?v=Eo0EwEmJfnQ,【歌枠】第一回！定期歌枠！singing！【茨むあん/新人VTuber】,8,命に嫌われている。,カンザキイオリ,,,08. 命に嫌われている。[Inochi ni Kirawarete iru.] / カンザキイオリ,1:04:15,確認済み,,命に嫌われている。,カンザキイオリ,命に嫌われている。 / カンザキイオリ,,未投入
2021/05/14,,https://www.youtube.com/watch?v=Eo0EwEmJfnQ,【歌枠】第一回！定期歌枠！singing！【茨むあん/新人VTuber】,9,愛に出会い恋は続く,HoneyWorks meets スフィア,,,09. 愛に出会い恋は続く[Ai Ni Deai Koi Wa Tsuzuku] / HoneyWorks meets スフィア,1:14:09,確認済み,,愛に出会い恋は続く,HoneyWorks meets スフィア,愛に出会い恋は続く / HoneyWorks meets スフィア,,未投入
2021/05/14,,https://www.youtube.com/watch?v=Eo0EwEmJfnQ,【歌枠】第一回！定期歌枠！singing！【茨むあん/新人VTuber】,10,心に穴が空いた,ヨルシカ,,,10. 心に穴が空いた[Kokoro ni ana ga aita] / ヨルシカ,1:22:39,確認済み,,心に穴が空いた,ヨルシカ,心に穴が空いた / ヨルシカ,,未投入
