曲名,アーティスト名,正規化曲名,正規化アーティスト,曲キー,ジャンル,キー,歌唱回数,最初に歌った日,最後に歌った日,英語タイトル,備考
ローゼンメイデン風アンパンマンのマーチ,,ローゼンメイデン風アンパンマンのマーチ,,ローゼンメイデン風アンパンマンのマーチ,,,17,2021/10/18,2026/03/30,Anpanman's March (in Rozen Maiden style),
発声練習,,発声練習,,発声練習,,,20,2021/10/17,2026/03/21,,
旅立ちの日に,(合唱曲),旅立ちの日に,(合唱曲),旅立ちの日に / (合唱曲),,,1,2022/02/28,2022/02/28,Tabidachi no hi ni,
8.32,*Luna,8.32,*Luna,8.32 / *Luna,,,22,2021/07/11,2025/12/16,,
アトラクトライト,*Luna,アトラクトライト,*Luna,アトラクトライト / *Luna,,,5,2021/10/17,2025/08/08,Attract light,
end tree,164,end tree,164,end tree / 164,,,20,2021/09/25,2025/07/22,,
例えば、今此処に置かれた花に,164,例えば、今此処に置かれた花に,164,例えば、今此処に置かれた花に / 164,,,20,2021/06/18,2025/08/26,"Tatoeba, Ima Koko ni Okareta Hana ni",
天ノ弱,164,天ノ弱,164,天ノ弱 / 164,,,34,2021/06/18,2026/03/09,Amanojaku,
青,164,青,164,青 / 164,,,11,2021/08/21,2025/12/16,Ao,
Dear,19's Sound Factory,Dear,19's Sound Factory,Dear / 19's Sound Factory,,,14,2021/09/29,2025/08/26,,
ハイドアンド・シーク,19's Sound Factory,ハイドアンド・シーク,19's Sound Factory,ハイドアンド・シーク / 19's Sound Factory,,,13,2021/10/18,2026/03/09,Hide and Seek,
からくりピエロ,40mP,からくりピエロ,40mP,からくりピエロ / 40mP,,,43,2021/06/18,2026/04/02,Karakuri Pierrot,
キリトリセン,40mP,キリトリセン,40mP,キリトリセン / 40mP,,,9,2023/10/25,2026/03/13,Kiritorisen,
シリョクケンサ,40mP,シリョクケンサ,40mP,シリョクケンサ / 40mP,,,23,2021/06/18,2026/01/15,Shiryoku Kensa,
トリノコシティ,40mP,トリノコシティ,40mP,トリノコシティ / 40mP,,,24,2021/06/18,2026/01/15,Torinoko City,
ドレミファロンド,40mP,ドレミファロンド,40mP,ドレミファロンド / 40mP,,,23,2021/07/31,2026/03/28,Doremifa Rondo,
恋愛裁判,40mP,恋愛裁判,40mP,恋愛裁判 / 40mP,,,39,2021/06/18,2026/02/02,Ren'ai Saiban,
Tot Musica,Ado,Tot Musica,Ado,Tot Musica / Ado,,,5,2022/10/13,2026/01/10,,
