未分類	local:non-song	0.95
童謡・唱歌	local:children-song-keyword	0.88
ボカロ	local:vocaloid-rule	0.95
ボカロ	local:vocaloid-rule	0.95
ボカロ	local:vocaloid-rule	0.95
ボカロ	local:vocaloid-rule	0.95
ボカロ	local:vocaloid-rule	0.95
ボカロ	local:vocaloid-rule	0.95
ボカロ	local:vocaloid-rule	0.95
ボカロ	local:vocaloid-rule	0.95
ボカロ	local:vocaloid-rule	0.95
ボカロ	local:vocaloid-rule	0.95
ボカロ	local:vocaloid-rule	0.95
ボカロ	local:vocaloid-rule	0.95
ボカロ	local:vocaloid-rule	0.95
ボカロ	local:vocaloid-rule	0.95
アニソン	local:anime-tie-in	0.95
J-POP	local:default-jpop	0.35
J-POP	local:default-jpop	0.35
アニソン	local:anime-tie-in	0.95
J-POP	local:default-jpop	0.35
J-POP	local:default-jpop	0.35
J-POP	local:default-jpop	0.35
アニソン	local:anime-tie-in	0.95
J-POP	local:default-jpop	0.35
アニソン	local:anime-tie-in	0.95
J-POP	local:default-jpop	0.35
アニソン	local:anime-tie-in	0.95
J-POP	local:default-jpop	0.35
ボカロ	local:vocaloid-rule	0.95
アニソン	local:anime-tie-in	0.95
J-POP	local:default-jpop	0.35
J-POP	local:default-jpop	0.35
J-POP	local:default-jpop	0.35
J-POP	local:default-jpop	0.35
J-POP	local:default-jpop	0.35
J-POP	local:default-jpop	0.35
J-POP	local:default-jpop	0.35
J-POP	local:default-jpop	0.35
アニソン	local:anime-tie-in	0.95
J-POP	local:default-jpop	0.35
アニソン	local:anime-tie-in	0.95
J-POP	local:default-jpop	0.35
J-POP	local:default-jpop	0.35
アニソン	local:anime-tie-in	0.95
J-POP	local:default-jpop	0.35
J-POP	local:default-jpop	0.35
J-POP	local:default-jpop	0.35
アイドル	local:idol-artist	0.88
アイドル	local:idol-artist	0.88
アニソン	local:anime-tie-in	0.95
アニソン	local:anime-tie-in	0.95
アニソン	local:anime-tie-in	0.95
アニソン	local:anime-tie-in	0.95
J-POP	local:default-jpop	0.35
アニソン	local:anime-tie-in	0.95
アニソン	local:anime-tie-in	0.95
アニソン	local:anime-tie-in	0.95
アニソン	local:anime-tie-in	0.95
アニソン	local:anime-tie-in	0.95
アニソン	local:anime-tie-in	0.95
アニソン	local:anime-tie-in	0.95
ボカロ	local:vocaloid-rule	0.95
J-POP	local:default-jpop	0.35
ボカロ	local:vocaloid-rule	0.95
ボカロ	local:vocaloid-rule	0.95
ボカロ	local:vocaloid-rule	0.95
ボカロ	local:vocaloid-rule	0.95
ボカロ	local:vocaloid-rule	0.95
アニソン	local:anime-tie-in	0.95
アニソン	local:anime-tie-in	0.95
J-POP	local:default-jpop	0.35
J-POP	local:default-jpop	0.35
J-POP	local:default-jpop	0.35
J-POP	local:default-jpop	0.35
J-POP	local:default-jpop	0.35
J-POP	local:default-jpop	0.35
J-POP	local:default-jpop	0.35
J-POP	local:default-jpop	0.35
J-POP	local:default-jpop	0.35
ボカロ	local:vocaloid-rule	0.95
J-POP	local:default-jpop	0.35
ボカロ	local:vocaloid-rule	0.95
J-POP	local:default-jpop	0.35
J-POP	local:default-jpop	0.35
J-POP	local:default-jpop	0.35
ゲーム・キャラソン	local:game-character-rule	0.95
ゲーム・キャラソン	local:game-character-rule	0.95
J-POP	local:default-jpop	0.35
J-POP	local:default-jpop	0.35
J-POP	local:default-jpop	0.35
J-POP	local:default-jpop	0.35
J-POP	local:default-jpop	0.35
J-POP	local:default-jpop	0.35
J-POP	local:default-jpop	0.35
ボカロ	local:vocaloid-rule	0.95
ボカロ	local:vocaloid-rule	0.95
アニソン	local:anime-tie-in	0.95
アニソン	local:anime-tie-in	0.95
アニソン	local:anime-tie-in	0.95
アニソン	local:anime-tie-in	0.95
アニソン	local:anime-tie-in	0.95
アニソン	local:anime-tie-in	0.95
J-POP	local:default-jpop	0.35
ボカロ	local:vocaloid-rule	0.95
ボカロ	local:vocaloid-rule	0.95
アニソン	local:anime-tie-in	0.95
アニソン	local:anime-tie-in	0.95
アニソン	local:anime-tie-in	0.95
ボカロ	local:vocaloid-rule	0.95
J-POP	local:default-jpop	0.35
J-POP	local:default-jpop	0.35
アニソン	local:anime-tie-in	0.95
J-POP	local:default-jpop	0.35
アニソン	local:anime-tie-in	0.95
アニソン	local:anime-tie-in	0.95
ボカロ	local:vocaloid-rule	0.95
ボカロ	local:vocaloid-rule	0.95
ボカロ	local:vocaloid-rule	0.95
ボカロ	local:vocaloid-rule	0.95
ボカロ	local:vocaloid-rule	0.95
ボカロ	local:vocaloid-rule	0.95
ボカロ	local:vocaloid-rule	0.95
ボカロ	local:vocaloid-rule	0.95
ボカロ	local:vocaloid-rule	0.95
ボカロ	local:vocaloid-rule	0.95
ボカロ	local:vocaloid-rule	0.95
ボカロ	local:vocaloid-rule	0.95
ボカロ	local:vocaloid-rule	0.95
ボカロ	local:vocaloid-rule	0.95
ボカロ	local:vocaloid-rule	0.95
ボカロ	local:vocaloid-rule	0.95
ボカロ	local:vocaloid-rule	0.95
ボカロ	local:vocaloid-rule	0.95
ボカロ	local:vocaloid-rule	0.95
ボカロ	local:vocaloid-rule	0.95
ボカロ	local:vocaloid-rule	0.95
ボカロ	local:vocaloid-rule	0.95
ボカロ	local:vocaloid-rule	0.95
ボカロ	local:vocaloid-rule	0.95
ボカロ	local:vocaloid-rule	0.95
ボカロ	local:vocaloid-rule	0.95
ボカロ	local:vocaloid-rule	0.95
ボカロ	local:vocaloid-rule	0.95
ボカロ	local:vocaloid-rule	0.95
ボカロ	local:vocaloid-rule	0.95
J-POP	local:default-jpop	0.35
ディズニー	local:disney-keyword	0.88
ボカロ	local:vocaloid-rule	0.95
アニソン	local:anime-tie-in	0.95
アニソン	local:anime-tie-in	0.95
ボカロ	local:vocaloid-rule	0.95
ボカロ	local:vocaloid-rule	0.95
アニソン	local:anime-tie-in	0.95
J-POP	local:default-jpop	0.35
ボカロ	local:vocaloid-rule	0.95
アニソン	local:anime-tie-in	0.95
アニソン	local:anime-tie-in	0.95
アニソン	local:anime-tie-in	0.95
アニソン	local:anime-tie-in	0.95
アニソン	local:anime-tie-in	0.95
アニソン	local:anime-tie-in	0.95
アニソン	local:anime-tie-in	0.95
アニソン	local:anime-tie-in	0.95
アニソン	local:anime-tie-in	0.95
アニソン	local:anime-tie-in	0.95
アニソン	local:anime-tie-in	0.95
アニソン	local:anime-tie-in	0.95
