配信日,開始時刻,歌枠URL,枠タイトル,曲順,曲名,アーティスト名,キー,ジャンル,セトリ原文,タイムスタンプ,確認状態,備考,正規化曲名,正規化アーティスト,曲キー,重複チェック,D1投入
2026/04/29,,https://www.youtube.com/live/oTMHS3yyUGM?si=zm-R3T3fAlXrikjh,【 #歌枠 】リクエスト歌枠！4月もありがとーね！【 茨むあん︙Vsinger  】#vtuber #karaoke,1,脱獄,Neru,,,00:13:51 01. 脱獄[Datsugoku] / Neru,00:13:51,確認済み,,脱獄,Neru,脱獄 / Neru,,未投入
2026/04/29,,https://www.youtube.com/live/oTMHS3yyUGM?si=zm-R3T3fAlXrikjh,【 #歌枠 】リクエスト歌枠！4月もありがとーね！【 茨むあん︙Vsinger  】#vtuber #karaoke,2,鬼ノ宴,友成空,,,00:17:38 02. 鬼ノ宴[Oni no utage] / 友成空,00:17:38,確認済み,,鬼ノ宴,友成空,鬼ノ宴 / 友成空,,未投入
2026/04/29,,https://www.youtube.com/live/oTMHS3yyUGM?si=zm-R3T3fAlXrikjh,【 #歌枠 】リクエスト歌枠！4月もありがとーね！【 茨むあん︙Vsinger  】#vtuber #karaoke,3,好きすぎて滅！,M!LK,,,00:26:43 03. 好きすぎて滅！[Suki sugite metsu!] / M!LK,00:26:43,確認済み,,好きすぎて滅！,M!LK,好きすぎて滅！ / M!LK,,未投入
2026/04/29,,https://www.youtube.com/live/oTMHS3yyUGM?si=zm-R3T3fAlXrikjh,【 #歌枠 】リクエスト歌枠！4月もありがとーね！【 茨むあん︙Vsinger  】#vtuber #karaoke,4,春泥棒,ヨルシカ,,,00:32:36 04. 春泥棒[Haru dorobou] / ヨルシカ,00:32:36,確認済み,,春泥棒,ヨルシカ,春泥棒 / ヨルシカ,,未投入
2026/04/29,,https://www.youtube.com/live/oTMHS3yyUGM?si=zm-R3T3fAlXrikjh,【 #歌枠 】リクエスト歌枠！4月もありがとーね！【 茨むあん︙Vsinger  】#vtuber #karaoke,5,ノーチラス,ヨルシカ,,,00:37:49 05. ノーチラス[Nautilus] / ヨルシカ,00:37:49,確認済み,,ノーチラス,ヨルシカ,ノーチラス / ヨルシカ,,未投入
2026/04/29,,https://www.youtube.com/live/4winI-B-SdA?si=vCxhlyo40oQRXx-A,【 #歌枠 】リクエスト歌枠！4月もありがとーね！２【 茨むあん︙Vsinger  】#vtuber #karaoke,1,UNDEAD,YOASOBI,,,00:05:43 01. UNDEAD / YOASOBI,00:05:43,確認済み,,UNDEAD,YOASOBI,UNDEAD / YOASOBI,,未投入
2026/04/29,,https://www.youtube.com/live/4winI-B-SdA?si=vCxhlyo40oQRXx-A,【 #歌枠 】リクエスト歌枠！4月もありがとーね！２【 茨むあん︙Vsinger  】#vtuber #karaoke,2,女の子になりたい,まふまふ,,,00:12:32 02. 女の子になりたい[Onnanoko ni naritai] / まふまふ,00:12:32,確認済み,,女の子になりたい,まふまふ,女の子になりたい / まふまふ,,未投入
2026/04/29,,https://www.youtube.com/live/4winI-B-SdA?si=vCxhlyo40oQRXx-A,【 #歌枠 】リクエスト歌枠！4月もありがとーね！２【 茨むあん︙Vsinger  】#vtuber #karaoke,3,サンドリヨン,シグナルP,,,00:17:56 03. サンドリヨン[Cendrillon] / シグナルP,00:17:56,確認済み,,サンドリヨン,シグナルP,サンドリヨン / シグナルP,,未投入
2026/04/29,,https://www.youtube.com/live/4winI-B-SdA?si=vCxhlyo40oQRXx-A,【 #歌枠 】リクエスト歌枠！4月もありがとーね！２【 茨むあん︙Vsinger  】#vtuber #karaoke,4,IGNITE,藍井エイル,,,00:23:58 04. IGNITE / 藍井エイル,00:23:58,確認済み,,IGNITE,藍井エイル,IGNITE / 藍井エイル,,未投入
2026/04/29,,https://www.youtube.com/live/4winI-B-SdA?si=vCxhlyo40oQRXx-A,【 #歌枠 】リクエスト歌枠！4月もありがとーね！２【 茨むあん︙Vsinger  】#vtuber #karaoke,5,炎,LiSA,,,00:30:40 05. 炎[Homura] / LiSA,00:30:40,確認済み,,炎,LiSA,炎 / LiSA,,未投入
2026/04/29,,https://www.youtube.com/live/4winI-B-SdA?si=vCxhlyo40oQRXx-A,【 #歌枠 】リクエスト歌枠！4月もありがとーね！２【 茨むあん︙Vsinger  】#vtuber #karaoke,6,シルシ,LiSA,,,00:38:38 06. シルシ[Shirushi] / LiSA,00:38:38,確認済み,,シルシ,LiSA,シルシ / LiSA,,未投入
2026/04/29,,https://www.youtube.com/live/4winI-B-SdA?si=vCxhlyo40oQRXx-A,【 #歌枠 】リクエスト歌枠！4月もありがとーね！２【 茨むあん︙Vsinger  】#vtuber #karaoke,7,フィクサー,ぬゆり,,,00:51:10 07. フィクサー[Fixer] / ぬゆり,00:51:10,確認済み,,フィクサー,ぬゆり,フィクサー / ぬゆり,,未投入
